scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method,metaAuthors,metaTickets,metaCategories,metaOthers
"GIVEN- the standard token resolving capabilities, WHEN- I invoke GET, THEN- The header tokens will resolve and I will get a 200",0,get_user_details,,"35e1007f-0c8e-4c17-9ab4-4997f380c5ed","2025-07-24T17:36:21.796822",205.0,"2025-07-24T17:36:22.001950",FAILED,GET,,,,
"Read properties in Test Steps - So easy",0,get_user_details,,"b13df186-3374-4b0e-9a66-0ecebbd33562","2025-07-24T17:36:20.581027",209.0,"2025-07-24T17:36:20.790352",FAILED,GET,,,,
"GitHub Step Reuse @@Alex",0,"get_github_server_details_1",,"1d4ab923-cc8b-4a68-99f3-d6a6303b9082","2025-07-24T17:14:31.780844",211.0,"2025-07-24T17:14:31.992827",PASSED,GET,,,,
"GitHub Step Reuse @@Alex",0,"get_github_server_details_2",,"1169da4e-58d8-4ea6-8b5f-0535b335dccf","2025-07-24T17:14:31.996378",200.0,"2025-07-24T17:14:32.197283",PASSED,GET,,,,
"Call methods with multiple arguments",0,"sample method 1",,"633dcc3e-8a86-43b7-8501-23624c4b4110","2025-07-24T17:14:44.411081",9.0,"2025-07-24T17:14:44.420352",PASSED,sampleMultiArgMethod1,,,,
"Call methods with multiple arguments",0,"sample method 2",,"76199161-d20d-4417-b0f1-c3cbf27f6a17","2025-07-24T17:14:44.421016",0.0,"2025-07-24T17:14:44.421345",PASSED,sampleMultiArgMethod2,,,,
"Call methods with multiple arguments",0,"sample method 3",,"bdd78f28-248f-47f4-b0cb-0afd7243c18b","2025-07-24T17:14:44.422122",1.0,"2025-07-24T17:14:44.423429",PASSED,sampleMultiArgMethod3,,,,
"Assert date field format and not its content etc",0,get_user_details,,"3b77ccc6-d68c-4d48-8aed-6dfb999230d2","2025-07-24T17:14:52.365890",2.0,"2025-07-24T17:14:52.367940",FAILED,GET,,,,
"Use any common value or token or SAML token example",0,get_user_details,,"7f5c6a2f-a450-4374-9345-fe32197394f1","2025-07-24T17:36:20.900892",199.0,"2025-07-24T17:36:21.099911",FAILED,GET,,,,
"Fetch and assert GitHub userNames",0,get_user_details,,"5466e92a-5485-4b2f-812a-667cb7e70fbb","2025-07-24T17:36:19.811936",211.0,"2025-07-24T17:36:20.023602",FAILED,GET,,,,
"Fetch and assert GitHub userNames",1,get_user_details,,"358a320e-3072-4c56-b0a3-d101fe33b355","2025-07-24T17:36:20.024524",199.0,"2025-07-24T17:36:20.223889",FAILED,GET,,,,
"Fetch and assert GitHub userNames",2,get_user_details,,"af5915df-d8ba-4a05-9424-ee0d60b3b29e","2025-07-24T17:36:20.225734",245.0,"2025-07-24T17:36:20.470909",FAILED,GET,,,,
"GIVEN- the REST end points, WHEN- I invoke POST and GET, THEN- I will create and receive the new emp details",0,create_emp,,"e5c27659-026a-41f0-8ec9-72dd85431561","2025-07-24T17:36:17.020814",2.0,"2025-07-24T17:36:17.022977",FAILED,POST,,,,
"Fetch and assert GitHub userNames",0,get_user_details,,"cc1da0bf-6f59-4180-81c1-1bf6da6c3b3e","2025-07-24T17:14:48.482608",199.0,"2025-07-24T17:14:48.681646",PASSED,GET,,,,
"Fetch and assert GitHub userNames",1,get_user_details,,"42ff2c66-468a-46b9-8fff-8982ca9b799a","2025-07-24T17:14:48.682684",398.0,"2025-07-24T17:14:49.081561",PASSED,GET,,,,
"Fetch and assert GitHub userNames",2,get_user_details,,"5f29e95d-4910-4106-903b-da1471d7a652","2025-07-24T17:14:49.083857",494.0,"2025-07-24T17:14:49.578850",PASSED,GET,,,,
"GitHub Step Reuse @@Alex",0,"get_github_server_details_1",,"73e34db9-e947-4350-a5e6-9d45abd93fa4","2025-07-24T17:14:32.938733",210.0,"2025-07-24T17:14:33.149312",PASSED,GET,,,,
"GitHub Step Reuse @@Alex",0,"get_github_server_details_2",,"08a0926e-ab44-4b9d-8221-0f2ea26dbf5c","2025-07-24T17:14:33.151003",199.0,"2025-07-24T17:14:33.350502",PASSED,GET,,,,
"Create employee by authenticating via Oauth2 token",0,new_oauth_token,,"922f0e0c-edd4-4628-87cf-bcc164217214","2025-07-24T17:36:15.116743",1.0,"2025-07-24T17:36:15.118245",PASSED,generateToken,,,,
"Create employee by authenticating via Oauth2 token",0,create_emp,,"0c99d367-fb67-4b26-8ef2-b3cae18d709c","2025-07-24T17:36:15.119492",2.0,"2025-07-24T17:36:15.121663",FAILED,POST,,,,
"GitHub GET API and more @@Alex",0,"get_github_server_details",,"012b49ff-e7e1-4550-8880-b70dbec3570f","2025-07-24T17:36:06.036632",216.0,"2025-07-24T17:36:06.252926",FAILED,GET,,,,
"Fetch and assert GitHub userIds by their userNames",0,get_user_details,,"febe5cac-64f1-4e20-be58-a03f2d61f4a4","2025-07-24T17:14:47.431079",204.0,"2025-07-24T17:14:47.635252",PASSED,GET,,,,
"Fetch and assert GitHub userIds by their userNames",1,get_user_details,,"5b33fd48-9058-4866-b4a0-cca6e5131079","2025-07-24T17:14:47.638395",204.0,"2025-07-24T17:14:47.842416",PASSED,GET,,,,
"GitHub Step Reuse @@Alex",0,"get_github_server_details_1",,"40d4656d-fedb-4e04-b1f1-66bf546e32e5","2025-07-24T17:36:11.499066",213.0,"2025-07-24T17:36:11.712655",FAILED,GET,,,,
"GitHub Version-Details REST API will GET, version and server details @@Emma",0,"get_github_server_details",,"a223f9e5-4c16-4dc7-99b0-404d79051f38","2025-07-24T17:14:31.260933",401.0,"2025-07-24T17:14:31.661994",PASSED,GET,,,,
"Fetch and assert GitHub userIds by their userNames",0,get_user_details,,"6629cc04-b17a-4084-bddd-e52883493dae","2025-07-24T17:36:18.249574",200.0,"2025-07-24T17:36:18.450267",FAILED,GET,,,,
"Fetch and assert GitHub userIds by their userNames",1,get_user_details,,"ca008c44-f1f4-4d89-befc-e7653e64e815","2025-07-24T17:36:18.452424",206.0,"2025-07-24T17:36:18.659136",FAILED,GET,,,,
"GIVEN- the REST end point, WHEN- I invoke POST, THEN- I will receive the 201 status with an ID",0,create_emp,,"d69c16a5-db99-402e-aaae-4491e1fad701","2025-07-24T17:14:45.076778",1.0,"2025-07-24T17:14:45.078501",FAILED,POST,,,,
"Named Parameterized Scenario for ---> octocat",0,get_user_details,,"f00e0a71-d9d4-4b89-8d1f-a114696a595a","2025-07-24T17:36:17.258105",364.0,"2025-07-24T17:36:17.622502",FAILED,GET,,,,
"Named Parameterized Scenario for ---> siddhagalaxy",1,get_user_details,,"b5a93a86-661a-475d-890f-ad51fc2555fd","2025-07-24T17:36:17.625969",200.0,"2025-07-24T17:36:17.826003",FAILED,GET,,,,
"POST API - File json as response content - Reuse body",0,create_emp,,"53e35a25-fd40-40a6-826c-58d86eb2f061","2025-07-24T17:14:34.958470",2.0,"2025-07-24T17:14:34.960810",FAILED,POST,,,,
"Assert that file has been uploaded successfully",0,post_file,,"28b6cc65-88dc-4ce2-aebc-10f37d03e661","2025-07-24T17:36:08.526743",1883.0,"2025-07-24T17:36:10.410496",PASSED,POST,,,,
"Use any common value or token or SAML token example",0,get_user_details,,"d08dcf66-b0f4-4bc7-9e6e-f78fabf877a4","2025-07-24T17:14:50.217617",321.0,"2025-07-24T17:14:50.539161",PASSED,GET,,,,
"Make the host config properties available into the test case json",0,config,,"8f0d43ea-8d7f-4635-a676-20083354bc92","2025-07-24T17:36:15.230219",1.0,"2025-07-24T17:36:15.231605",PASSED,readProperties,,,,
"Make the host config properties available into the test case json",0,get_user_details,,"e02577af-5228-435d-bf37-f104cccfa459","2025-07-24T17:36:15.232467",205.0,"2025-07-24T17:36:15.437971",FAILED,GET,,,,
"Java method request, response as JSON",0,execute_java_method,,"968d9c5c-62b2-410e-b399-4a0d66afc116","2025-07-24T17:36:15.547887",2.0,"2025-07-24T17:36:15.550798",PASSED,createOrder,,,,
"GitHub Version-Details REST API will GET, version and server details @@Emma",0,"get_github_server_details",,"90498c54-192a-4078-a19c-1b313d5abf81","2025-07-24T17:36:11.170890",206.0,"2025-07-24T17:36:11.377463",FAILED,GET,,,,
"GitHub Step Reuse @@Alex",0,"get_github_server_details_1",,"e192757b-288a-4515-91a4-b07b29404bd1","2025-07-24T17:14:38.376800",208.0,"2025-07-24T17:14:38.584818",PASSED,GET,,,,
"GitHub Step Reuse @@Alex",0,"get_github_server_details_2",,"24edb72f-9e17-4448-8a0d-c3906e0d0669","2025-07-24T17:14:38.586992",198.0,"2025-07-24T17:14:38.785496",PASSED,GET,,,,
"GitHub Version-Details REST API will GET, version and server details @@Emma",0,"get_github_server_details",,"2a758223-71ec-45e2-93fd-9ce65f6d29a7","2025-07-24T17:36:05.402278",204.0,"2025-07-24T17:36:05.606495",FAILED,GET,,,,
"Assert that value is one of the items in the array",0,match_user_location,,"b93b5ea2-6b60-4713-a87f-3c3253634e56","2025-07-24T17:36:17.940521",193.0,"2025-07-24T17:36:18.134176",FAILED,GET,,,,
"Java method request, response as JSON",0,execute_java_method,,"f78df997-542f-4382-89d1-32a7bcef8159","2025-07-24T17:14:43.977782",3.0,"2025-07-24T17:14:43.981627",PASSED,createOrder,,,,
"@@Santhosh - Will Mock some End Points via WireMock and Test the end points using Zerocode",0,setup_mocks,,"02c9ae1f-f7f5-4e8a-98bd-19748df8889c","2025-07-24T17:16:14.783444",10.0,"2025-07-24T17:16:14.793738",FAILED,"$USE.WIREMOCK",,,,
"org.jsmart.zerocode.testhelp.tests.reportuploader.ReportUploaderTest",0,testGet,0,"e9f40a8d-56d2-40f8-bb50-595e60c43471","2025-07-24T17:16:14.666735",0.0,"2025-07-24T17:16:14.666817",PASSED,,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GitHub Version-Details REST API will GET, version and server details @@Emma",0,"get_github_server_details",,"eb2e0d5f-856a-4fe1-8341-a69acf6ccc94","2025-07-24T17:36:10.837655",221.0,"2025-07-24T17:36:11.059140",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GitHub GET API and more @@Alex",0,"get_github_server_details",,"c02887c7-6aa1-42c2-8d05-67f1c81a455b","2025-07-24T17:14:38.897839",207.0,"2025-07-24T17:14:39.105109",PASSED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Load testing- Git Hub GET API",0,get_user_details,,"562a9fdb-1960-4cec-bbf9-7aca6cef5503","2025-07-24T17:36:27.724866",199.0,"2025-07-24T17:36:27.924244",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,helper1,,"c01d0afd-8323-46b8-a12b-17cbf12153f8","2025-07-24T17:36:21.651523",1.0,"2025-07-24T17:36:21.653366",PASSED,helperMethod1,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,helper2,,"fb4feb88-0112-4c34-a59f-02860ec0e83c","2025-07-24T17:36:21.653715",0.0,"2025-07-24T17:36:21.653772",PASSED,helperMethod2,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,helper3,,"380f2238-d5e8-4b11-ad09-2d55e5e4041a","2025-07-24T17:36:21.653947",0.0,"2025-07-24T17:36:21.653996",PASSED,helperMethod3,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,main,,"13c79c44-7c15-497d-a290-f7d50f4e92e3","2025-07-24T17:36:21.654380",1.0,"2025-07-24T17:36:21.655998",FAILED,mainMethod,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,helper1,,"8bf210d8-1874-42d2-86dc-27a2fdd8f057","2025-07-24T17:36:21.669098",0.0,"2025-07-24T17:36:21.669261",PASSED,helperMethod1,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,helper2,,"42c56a89-8dd4-4f6c-8446-ceea03ceffcf","2025-07-24T17:36:21.669451",0.0,"2025-07-24T17:36:21.669501",PASSED,helperMethod2,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,helper3,,"8e3858c6-f733-4fa3-972e-f06e497753e2","2025-07-24T17:36:21.669640",0.0,"2025-07-24T17:36:21.669680",PASSED,helperMethod3,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,helper1,,"b66bfb2e-1b81-43ea-a7aa-d96761a43cfb","2025-07-24T17:36:21.682570",0.0,"2025-07-24T17:36:21.682687",PASSED,helperMethod1,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,helper2,,"96d6dc08-3d01-4075-92f0-23294e976a29","2025-07-24T17:36:21.682870",0.0,"2025-07-24T17:36:21.682925",PASSED,helperMethod2,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Retry with previous steps",0,helper3,,"605fbac0-8224-4e76-ae10-a690dd71c686","2025-07-24T17:36:21.683066",0.0,"2025-07-24T17:36:21.683106",PASSED,helperMethod3,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Java method return as JSON assertions",0,execute_java_method,,"1a360741-ff2b-4f97-828d-4a1549963ba8","2025-07-24T17:36:15.007265",0.0,"2025-07-24T17:36:15.007740",PASSED,fetchDbCustomers,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GIVEN- the GitHub REST end point, WHEN- I invoke GET, THEN- I will receive the 200 status with body",0,get_user_details,,"03955f4c-6047-4f3e-b258-33282518635c","2025-07-24T17:36:07.036850",217.0,"2025-07-24T17:36:07.254096",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Create employee by authenticating via Oauth2 token",0,new_oauth_token,,"93c72c88-031c-47d8-9b03-d534dc385b3b","2025-07-24T17:14:42.323300",1.0,"2025-07-24T17:14:42.324790",PASSED,generateToken,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Create employee by authenticating via Oauth2 token",0,create_emp,,"c2b61b19-d994-445e-a962-e52a9daa7470","2025-07-24T17:14:42.326303",2.0,"2025-07-24T17:14:42.328451",FAILED,POST,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Assert that file has been uploaded successfully",0,post_file,,"977e4a0a-c7ab-483d-a7f5-bef80557aa73","2025-07-24T17:14:35.188774",2104.0,"2025-07-24T17:14:37.292905",PASSED,POST,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GitHub GET API and more @@Alex",0,"get_github_server_details",,"e5027642-8eca-41df-b40e-d5e9a527f3db","2025-07-24T17:14:30.541339",608.0,"2025-07-24T17:14:31.149979",PASSED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Pick a value from returned array for matching JSON Path ",0,get_records,,"fec4c689-1c43-4311-87e2-262dd6f8c25e","2025-07-24T17:14:34.158651",0.0,"2025-07-24T17:14:34.159161",PASSED,fetchDbCustomers,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Pick a value from returned array for matching JSON Path ",0,get_by_name,,"38f90120-d0cb-4f24-8193-b262e6b41c30","2025-07-24T17:14:34.161555",0.0,"2025-07-24T17:14:34.161953",PASSED,fetchDbCustomersByName,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Pick a value from returned array for matching JSON Path ",0,get_by_name_index_0,,"1d7e3d56-9d81-4979-8f68-a0f083bd402b","2025-07-24T17:14:34.164081",0.0,"2025-07-24T17:14:34.164474",PASSED,fetchDbCustomersByName,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Pick a value from returned array for matching JSON Path ",0,get_by_name_index_1,,"6e187ac9-33b4-42b2-b2ee-675dba8c7c23","2025-07-24T17:14:34.166156",0.0,"2025-07-24T17:14:34.166397",PASSED,fetchDbCustomersByName,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Validate Http Implicit Delay or Max Timeout",0,verify_mock,,"e8a4f606-c620-44a7-8f9a-8acda99629a0","2025-07-24T17:36:12.707046",2064.0,"2025-07-24T17:36:14.771385",PASSED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Load testing- Git Hub GET API",0,get_user_details,,"2b4277c2-6735-48b1-911c-5a638c2a5e17","2025-07-24T17:16:13.949603",279.0,"2025-07-24T17:16:14.229432",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Pick a value from returned array for matching JSON Path ",0,get_records,,"7a7b1622-95e2-4cf6-bb1d-ea69181e4440","2025-07-24T17:36:07.502826",0.0,"2025-07-24T17:36:07.503140",PASSED,fetchDbCustomers,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Pick a value from returned array for matching JSON Path ",0,get_by_name,,"eae639af-f599-487c-853d-32b5a0cc91fb","2025-07-24T17:36:07.504491",0.0,"2025-07-24T17:36:07.504690",PASSED,fetchDbCustomersByName,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Pick a value from returned array for matching JSON Path ",0,get_by_name_index_0,,"bf0e129d-f55d-4fd5-b339-7ee992e19cad","2025-07-24T17:36:07.505810",0.0,"2025-07-24T17:36:07.506009",PASSED,fetchDbCustomersByName,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Pick a value from returned array for matching JSON Path ",0,get_by_name_index_1,,"77f64e70-c6fa-4cba-a21a-3dcd9a7ad6ac","2025-07-24T17:36:07.506936",0.0,"2025-07-24T17:36:07.507115",PASSED,fetchDbCustomersByName,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Assert date field format and not its content etc",0,get_user_details,,"7f060618-a38c-4713-aac4-1bbe2187eec4","2025-07-24T17:36:21.537462",2.0,"2025-07-24T17:36:21.540134",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GIVEN- the REST end point, WHEN- I invoke GET, THEN- I will receive the 200 status with body",0,get_emp_details,,"5527aa8f-19f9-4cd1-9a0c-8ca7a9026059","2025-07-24T17:36:16.910142",2.0,"2025-07-24T17:36:16.912295",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GitHub Version-Details REST API will GET, version and server details @@Emma",0,"get_github_server_details",,"fd26473f-999a-40d4-9a8e-e2c834bc747b","2025-07-24T17:14:32.616189",213.0,"2025-07-24T17:14:32.830161",PASSED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GIVEN- the standard token resolving capabilities, WHEN- I invoke GET, THEN- The header tokens will resolve and I will get a 200",0,get_user_details,,"bc15f68e-6049-4c0d-a5b2-0c0784b852eb","2025-07-24T17:14:52.626286",206.0,"2025-07-24T17:14:52.832605",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"POST API - File json as request content - Reuse body",0,create_emp,,"a93dd225-fd6c-4f13-863f-cf6ac9c6bb43","2025-07-24T17:36:08.182774",2.0,"2025-07-24T17:36:08.184947",FAILED,POST,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"POST API - File json as request content - Reuse body",0,create_emp,,"c85a6d07-1bf2-404f-9b20-7326ecb6d906","2025-07-24T17:36:08.068021",4.0,"2025-07-24T17:36:08.072730",FAILED,POST,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Load testing- Git Hub GET API",0,get_user_details,,"47c4af7d-417c-4748-ae7a-08a040e0dcec","2025-07-24T17:15:03.504207",295.0,"2025-07-24T17:15:03.799453",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Validate Http Implicit Delay or Max Timeout",0,verify_mock,,"a7b3847d-01f1-4a4e-a6df-286ea5eadb97","2025-07-24T17:14:39.919923",2058.0,"2025-07-24T17:14:41.978872",PASSED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GitHub Step Reuse @@Alex",0,"get_github_server_details_1",,"56093cb8-0e7b-4088-a335-a59e4f8fde70","2025-07-24T17:36:06.686352",202.0,"2025-07-24T17:36:06.889013",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GitHub Version-Details REST API will GET, version and server details @@Emma",0,"get_github_server_details",,"e1414082-9c3d-487c-9195-835c11c6b01e","2025-07-24T17:36:06.367788",202.0,"2025-07-24T17:36:06.570395",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GIVEN- the REST end point, WHEN- I invoke GET for emp ID 1000, THEN- I will receive the details",0,get_user_details,,"284ac5f2-cb53-4f50-a5e1-eff0f9f8c5ef","2025-07-24T17:14:45.517326",2.0,"2025-07-24T17:14:45.519581",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Scenario - multi step",0,create_emp,,"e06a9bd7-bb38-44e4-8088-330bf35bc6c6","2025-07-24T17:14:30.301372",0.0,"2025-07-24T17:14:30.302089",PASSED,,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Scenario - multi step",0,get_user_details,,"71131ff3-5498-43d9-b630-3212e97d28e6","2025-07-24T17:14:30.311074",0.0,"2025-07-24T17:14:30.311295",PASSED,,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Java method return as JSON assertions",0,execute_java_method,,"3171a92a-6859-42c2-963b-98b50ef629ef","2025-07-24T17:14:42.096883",1.0,"2025-07-24T17:14:42.097912",PASSED,fetchDbCustomers,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Java method return as JSON assertions",0,execute_gremlin_ql,,"8c3fd8da-09d5-4f9c-a319-a38599735ea7","2025-07-24T17:14:42.098754",0.0,"2025-07-24T17:14:42.098898",PASSED,fetchDbCustomers,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GitHub GET API and more @@Alex",0,"get_github_server_details",,"e3f29a13-e36d-4ee4-a649-0f439afa5af0","2025-07-24T17:14:32.308818",198.0,"2025-07-24T17:14:32.507231",PASSED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Call static method",0,"sample static method 1",,"a218a982-3291-4963-b962-892821cc6fe5","2025-07-24T17:14:44.850788",0.0,"2025-07-24T17:14:44.851332",PASSED,sampleStaticMethod,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Call static method",0,"calling existing method",,"b520931e-5552-4b78-b397-a93ec39dd19f","2025-07-24T17:14:44.851732",0.0,"2025-07-24T17:14:44.852150",PASSED,currentTimeMillis,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Named Parameterized Scenario for ---> octocat",0,get_user_details,,"cef7a617-76ae-4ad9-9fdb-0cd5645dc605","2025-07-24T17:14:45.642152",192.0,"2025-07-24T17:14:45.834999",PASSED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Named Parameterized Scenario for ---> siddhagalaxy",1,get_user_details,,"5f3c7c8d-fcf6-4047-b847-33f07d769e7e","2025-07-24T17:14:45.837291",409.0,"2025-07-24T17:14:46.247191",PASSED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Load testing- Git Hub GET API",0,get_user_details,,"cbff182e-f749-4093-8d13-10d0d343b4d0","2025-07-24T17:36:32.724169",209.0,"2025-07-24T17:36:32.933293",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"POST API - JSON content as request body",0,get_screening,,"d9a6f2fc-f58d-4b23-ac08-b3265f7a6926","2025-07-24T17:14:44.962723",1.0,"2025-07-24T17:14:44.964466",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Scenario - Get GitHub User Details with Metadata",0,get_user_details,,"1a189fc4-1a05-4138-b9c8-76a52506902c","2025-07-24T17:16:14.347153",206.0,"2025-07-24T17:16:14.553367",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"GitHub Version-Details REST API will GET, version and server details @@Emma",0,"get_github_server_details",,"e8485089-55d6-407a-a6b6-b373234302b0","2025-07-24T17:14:37.731422",206.0,"2025-07-24T17:14:37.938018",PASSED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Another endpoint host from properties file available in the url",0,config,,"6af46700-9af8-45f4-8ea3-281c053d9f35","2025-07-24T17:36:15.659746",1.0,"2025-07-24T17:36:15.661506",PASSED,readProperties,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
"Another endpoint host from properties file available in the url",0,get_user_details_way2,,"37267fed-30c9-46d6-a30e-2c62a57e4254","2025-07-24T17:36:15.662822",230.0,"2025-07-24T17:36:15.893241",FAILED,GET,"Emma, Sidd, Krish","ISSUE-519, GT-312","api, regression",
